temp,egg,L1,L2,L3,L4
-13.58,0.5637898770863281,4.191489262425039e22,4.191489262425039e22,4.191489262425039e22,4.191489262425039e22
-13.57,0.5628000220338294,3.940053644909178e22,3.940053644909178e22,3.940053644909178e22,3.940053644909178e22
-13.56,0.561811904885938,3.7038862731123733e22,3.7038862731123733e22,3.7038862731123733e22,3.7038862731123733e22
-13.55,0.5608255225913866,3.482048945753392e22,3.482048945753392e22,3.482048945753392e22,3.482048945753392e22
-13.54,0.5598408721042649,3.273661778981833e22,3.273661778981833e22,3.273661778981833e22,3.273661778981833e22
-13.53,0.5588579503840106,3.0778995406824437e22,3.0778995406824437e22,3.0778995406824437e22,3.0778995406824437e22
-13.52,0.5578767543953994,2.893988217716031e22,2.893988217716031e22,2.893988217716031e22,2.893988217716031e22
-13.51,0.5568972811085364,2.721201801138157e22,2.721201801138157e22,2.721201801138157e22,2.721201801138157e22
-13.5,0.555919527498846,2.5588592754063862e22,2.5588592754063862e22,2.5588592754063862e22,2.5588592754063862e22
-13.49,0.554943490547063,2.406321798494208e22,2.406321798494208e22,2.406321798494208e22,2.406321798494208e22
-13.48,0.5539691672392234,2.262990060677686e22,2.262990060677686e22,2.262990060677686e22,2.262990060677686e22
-13.47,0.5529965545666544,2.1283018105520885e22,2.1283018105520885e22,2.1283018105520885e22,2.1283018105520885e22
-13.46,0.5520256495259661,2.001729537577922e22,2.001729537577922e22,2.001729537577922e22,2.001729537577922e22
-13.45,0.5510564491190413,1.882778301145823e22,1.882778301145823e22,1.882778301145823e22,1.882778301145823e22
-13.44,0.5500889503530269,1.7709836967977387e22,1.7709836967977387e22,1.7709836967977387e22,1.7709836967977387e22
-13.43,0.549123150240324,1.665909950846066e22,1.665909950846066e22,1.665909950846066e22,1.665909950846066e22
-13.42,0.5481590457985798,1.5671481351977075e22,1.5671481351977075e22,1.5671481351977075e22,1.5671481351977075e22
-13.41,0.5471966340506769,1.4743144947176186e22,1.4743144947176186e22,1.4743144947176186e22,1.4743144947176186e22
-13.4,0.5462359120247253,1.3870488799613217e22,1.3870488799613217e22,1.3870488799613217e22,1.3870488799613217e22
-13.39,0.5452768767540529,1.3050132785669863e22,1.3050132785669863e22,1.3050132785669863e22,1.3050132785669863e22
-13.38,0.5443195252771957,1.2278904390290762e22,1.2278904390290762e22,1.2278904390290762e22,1.2278904390290762e22
-13.37,0.5433638546378897,1.1553825809801926e22,1.1553825809801926e22,1.1553825809801926e22,1.1553825809801926e22
-13.36,0.5424098618850611,1.0872101864840679e22,1.0872101864840679e22,1.0872101864840679e22,1.0872101864840679e22
-13.35,0.5414575440728173,1.0231108671962173e22,1.0231108671962173e22,1.0231108671962173e22,1.0231108671962173e22
-13.34,0.540506898260438,9.628383025788883e21,9.628383025788883e21,9.628383025788883e21,9.628383025788883e21
-13.33,0.5395579215123656,9.061612446648721e21,9.061612446648721e21,9.061612446648721e21,9.061612446648721e21
-13.32,0.538610610898197,8.528625851542497e21,8.528625851542497e21,8.528625851542497e21,8.528625851542497e21
-13.31,0.5376649634926736,8.027384808973959e21,8.027384808973959e21,8.027384808973959e21,8.027384808973959e21
-13.3,0.5367209763756732,7.555975340706034e21,7.555975340706034e21,7.555975340706034e21,7.555975340706034e21
-13.29,0.5357786466322001,7.112600235864295e21,7.112600235864295e21,7.112600235864295e21,7.112600235864295e21
-13.28,0.5348379713523767,6.695571845020578e21,6.695571845020578e21,6.695571845020578e21,6.695571845020578e21
-13.27,0.5338989476314342,6.303305323954883e21,6.303305323954883e21,6.303305323954883e21,6.303305323954883e21
-13.26,0.5329615725697039,5.934312298728248e21,5.934312298728248e21,5.934312298728248e21,5.934312298728248e21
-13.25,0.5320258432726079,5.587194925506265e21,5.587194925506265e21,5.587194925506265e21,5.587194925506265e21
-13.24,0.5310917568506507,5.260640320266332e21,5.260640320266332e21,5.260640320266332e21,5.260640320266332e21
-13.23,0.5301593104194096,4.95341533510415e21,4.95341533510415e21,4.95341533510415e21,4.95341533510415e21
-13.22,0.5292285010995261,4.6643616593373744e21,4.6643616593373744e21,4.6643616593373744e21,4.6643616593373744e21
-13.21,0.5282993260166975,4.3923912249889653e21,4.3923912249889653e21,4.3923912249889653e21,4.3923912249889653e21
-13.2,0.5273717823016669,4.136481897531101e21,4.136481897531101e21,4.136481897531101e21,4.136481897531101e21
-13.19,0.5264458670902155,3.895673433984378e21,3.895673433984378e21,3.895673433984378e21,3.895673433984378e21
-13.18,0.525521577523153,3.669063691601184e21,3.669063691601184e21,3.669063691601184e21,3.669063691601184e21
-13.17,0.5245989107463093,3.4558050714281386e21,3.4558050714281386e21,3.4558050714281386e21,3.4558050714281386e21
-13.16,0.5236778639105251,3.2551011820356323e21,3.2551011820356323e21,3.2551011820356323e21,3.2551011820356323e21
-13.15,0.5227584341716435,3.0662037096336363e21,3.0662037096336363e21,3.0662037096336363e21,3.0662037096336363e21
-13.14,0.5218406186905012,2.888409481665703e21,2.888409481665703e21,2.888409481665703e21,2.888409481665703e21
-13.13,0.5209244146329197,2.7210577117893393e21,2.7210577117893393e21,2.7210577117893393e21,2.7210577117893393e21
-13.12,0.5200098191696966,2.5635274149132407e21,2.5635274149132407e21,2.5635274149132407e21,2.5635274149132407e21
-13.11,0.5190968294765963,2.4152349816790917e21,2.4152349816790917e21,2.4152349816790917e21,2.4152349816790917e21
-13.1,0.5181854427343424,2.275631902442896e21,2.275631902442896e21,2.275631902442896e21,2.275631902442896e21
-13.09,0.5172756561286078,2.144202631440294e21,2.144202631440294e21,2.144202631440294e21,2.144202631440294e21
-13.08,0.516367466850007,2.020462582404676e21,2.020462582404676e21,2.020462582404676e21,2.020462582404676e21
-13.07,0.5154608720940866,1.9039562474581653e21,1.9039562474581653e21,1.9039562474581653e21,1.9039562474581653e21
-13.06,0.5145558690613175,1.794255431609305e21,1.794255431609305e21,1.794255431609305e21,1.794255431609305e21
-13.05,0.5136524549570851,1.6909575956738453e21,1.6909575956738453e21,1.6909575956738453e21,1.6909575956738453e21
-13.04,0.5127506269916821,1.5936843008851881e21,1.5936843008851881e21,1.5936843008851881e21,1.5936843008851881e21
-13.03,0.5118503823802985,1.5020797488851966e21,1.5020797488851966e21,1.5020797488851966e21,1.5020797488851966e21
-13.02,0.5109517183430139,1.4158094111803585e21,1.4158094111803585e21,1.4158094111803585e21,1.4158094111803585e21
-13.01,0.5100546321047889,1.334558742520092e21,1.334558742520092e21,1.334558742520092e21,1.334558742520092e21
-13.0,0.5091591208954559,1.2580319730009553e21,1.2580319730009553e21,1.2580319730009553e21,1.2580319730009553e21
-12.99,0.508265181949711,1.185950974025206e21,1.185950974025206e21,1.185950974025206e21,1.185950974025206e21
-12.98,0.5073728125071056,1.1180541935477882e21,1.1180541935477882e21,1.1180541935477882e21,1.1180541935477882e21
-12.97,0.5064820098120375,1.0540956563306649e21,1.0540956563306649e21,1.0540956563306649e21,1.0540956563306649e21
-12.96,0.5055927711137425,9.938440251905884e20,9.938440251905884e20,9.938440251905884e20,9.938440251905884e20
-12.95,0.504705093666286,9.37081719477725e20,9.37081719477725e20,9.37081719477725e20,9.37081719477725e20
-12.94,0.5038189747285547,8.836040872564634e20,8.836040872564634e20,8.836040872564634e20,8.836040872564634e20
-12.93,0.5029344115642477,8.332186278799133e20,8.332186278799133e20,8.332186278799133e20,8.332186278799133e20
-12.92,0.5020514014418682,7.857442618560773e20,7.857442618560773e20,7.857442618560773e20,7.857442618560773e20
-12.91,0.5011699416347153,7.410106450959132e20,7.410106450959132e20,7.410106450959132e20,7.410106450959132e20
-12.9,0.5002900294208753,6.988575248153353e20,6.988575248153353e20,6.988575248153353e20,6.988575248153353e20
-12.89,0.49941166208321347,6.591341345321866e20,6.591341345321866e20,6.591341345321866e20,6.591341345321866e20
-12.88,0.49853483690936573,6.216986257583095e20,6.216986257583095e20,6.216986257583095e20,6.216986257583095e20
-12.87,0.49765955119172983,5.8641753413587934e20,5.8641753413587934e20,5.8641753413587934e20,5.8641753413587934e20
-12.86,0.49678580222745755,5.531652779066383e20,5.531652779066383e20,5.531652779066383e20,5.531652779066383e20
-12.85,0.49591358731844604,5.2182368673351395e20,5.2182368673351395e20,5.2182368673351395e20,5.2182368673351395e20
-12.84,0.4950429037713295,4.922815590168424e20,4.922815590168424e20,4.922815590168424e20,4.922815590168424e20
-12.83,0.49417374889747095,4.64434245962411e20,4.64434245962411e20,4.64434245962411e20,4.64434245962411e20
-12.82,0.493306120012954,4.381832607660898e20,4.381832607660898e20,4.381832607660898e20,4.381832607660898e20
-12.81,0.4924400144385742,4.134359113811405e20,4.134359113811405e20,4.134359113811405e20,4.134359113811405e20
-12.8,0.4915754294998313,3.901049554289437e20,3.901049554289437e20,3.901049554289437e20,3.901049554289437e20
-12.79,0.4907123625269203,3.6810827590253714e20,3.6810827590253714e20,3.6810827590253714e20,3.6810827590253714e20
-12.78,0.48985081085472465,3.473685763959434e20,3.473685763959434e20,3.473685763959434e20,3.473685763959434e20
-12.77,0.4889907718228055,3.2781309466998827e20,3.2781309466998827e20,3.2781309466998827e20,3.2781309466998827e20
-12.76,0.488132242775396,3.093733334389343e20,3.093733334389343e20,3.093733334389343e20,3.093733334389343e20
-12.75,0.4872752210613918,2.919848073305202e20,2.919848073305202e20,2.919848073305202e20,2.919848073305202e20
-12.74,0.4864197040343431,2.7558680503671416e20,2.7558680503671416e20,2.7558680503671416e20,2.7558680503671416e20
-12.73,0.48556568905244657,2.60122165732707e20,2.60122165732707e20,2.60122165732707e20,2.60122165732707e20
-12.72,0.48471317347853715,2.4553706889832828e20,2.4553706889832828e20,2.4553706889832828e20,2.4553706889832828e20
-12.71,0.48386215468007987,2.3178083672927217e20,2.3178083672927217e20,2.3178083672927217e20,2.3178083672927217e20
-12.7,0.4830126300291614,2.188057483752339e20,2.188057483752339e20,2.188057483752339e20,2.188057483752339e20
-12.69,0.4821645969024834,2.0656686528893347e20,2.0656686528893347e20,2.0656686528893347e20,2.0656686528893347e20
-12.68,0.4813180526813518,1.9502186701368266e20,1.9502186701368266e20,1.9502186701368266e20,1.9502186701368266e20
-12.67,0.48047299475167116,1.8413089677847885e20,1.8413089677847885e20,1.8413089677847885e20,1.8413089677847885e20
-12.66,0.4796294205039354,1.7385641630800573e20,1.7385641630800573e20,1.7385641630800573e20,1.7385641630800573e20
-12.65,0.4787873273332201,1.641630692912642e20,1.641630692912642e20,1.641630692912642e20,1.641630692912642e20
-12.64,0.4779467126391741,1.5501755298643837e20,1.5501755298643837e20,1.5501755298643837e20,1.5501755298643837e20
-12.63,0.477107573826012,1.4638849747152221e20,1.4638849747152221e20,1.4638849747152221e20,1.4638849747152221e20
-12.62,0.4762699083025055,1.3824635208009633e20,1.3824635208009633e20,1.3824635208009633e20,1.3824635208009633e20
-12.61,0.4754337134819766,1.3056327858975644e20,1.3056327858975644e20,1.3056327858975644e20,1.3056327858975644e20
-12.6,0.47459898678228757,1.2331305075694712e20,1.2331305075694712e20,1.2331305075694712e20,1.2331305075694712e20
-12.59,0.47376572562583497,1.1647095981674968e20,1.1647095981674968e20,1.1647095981674968e20,1.1647095981674968e20
-12.58,0.47293392743954077,1.1001372558933518e20,1.1001372558933518e20,1.1001372558933518e20,1.1001372558933518e20
-12.57,0.47210358965484445,1.0391941285651212e20,1.0391941285651212e20,1.0391941285651212e20,1.0391941285651212e20
-12.56,0.47127470970769514,9.816735269231316e19,9.816735269231316e19,9.816735269231316e19,9.816735269231316e19
-12.55,0.4704472850385438,9.273806845066923e19,9.273806845066923e19,9.273806845066923e19,9.273806845066923e19
-12.54,0.469621313092335,8.761320613125068e19,8.761320613125068e19,8.761320613125068e19,8.761320613125068e19
-12.53,0.4687967913184999,8.277546886145824e19,8.277546886145824e19,8.277546886145824e19,8.277546886145824e19
-12.52,0.46797371717094716,7.820855524837966e19,7.820855524837966e19,7.820855524837966e19,7.820855524837966e19
-12.51,0.4671520881080555,7.389710136943552e19,7.389710136943552e19,7.389710136943552e19,7.389710136943552e19
